TOID,geometry,prop_of_rec
osgb1000000254189945,"POLYGON ((384808.5 393732, 384809 393732, 384809 393730.5, 384810 393730.5, 384810 393730, 384810.5 393730, 384810.8729499761 393729.5, 384810 393729.5, 384810 393729, 384809.5 393729, 384809.5 393728.5, 384808.6552906109 393728.5, 384805.72595375834 393732.4272516961, 384807.6301060662 393733.8475588116, 384808.5 393732.681324746, 384808.5 393732))",0.9605903516117485
osgb1000000254189945,"POLYGON ((384809 393730.5, 384809.157683202 393730.5, 384809.83602036827 393729, 384809.5 393729, 384809.5 393728.5, 384808.5 393728.5, 384808.5 393728, 384807.7025656576 393728, 384805.5849998736 393732.682551442, 384807.7316697998 393733.65332877176, 384809 393730.84868324304, 384809 393730.5))",1.0653657316165606
osgb1000000254189945,"POLYGON ((384806 393733, 384806 393733.00201794, 384807.81503073993 393733.39164663875, 384808.8651098779 393728.5, 384808.5 393728.5, 384808.5 393728, 384806.54293356475 393728, 384806.5 393728.2, 384806.5 393729.5, 384806.2209318293 393729.5, 384805.49254589895 393732.8930838725, 384805.99059970916 393733, 384806 393733))",1.0505761073415592
osgb1000000254189948,"POLYGON ((384583.5 393688, 384583.5 393688.5, 384582.5 393688.5, 384582.5 393689, 384581.6453610239 393689, 384584.0196809181 393693.81647749955, 384586.1723357343 393692.7553096324, 384583.8281690141 393688, 384583.5 393688))",1.0887756112951996
osgb1000000254189948,"POLYGON ((384580.5 393689.5, 384580.5 393690, 384579.5 393690, 384579.5 393690.5, 384579.3100044556 393690.5, 384581.5460083263 393695.035893566, 384583.69866314245 393693.9747256988, 384581.49281244574 393689.5, 384580.5 393689.5))",1.081298749818894
osgb1000000254189948,"POLYGON ((384578.5 393690.5, 384578.5 393691, 384577.5 393691, 384577.5 393691.5, 384576.7281690141 393691.5, 384579.0723357343 393696.2553096324, 384581.22499055055 393695.19414176524, 384578.91097700427 393690.5, 384578.5 393690.5))",1.0817562629510726
osgb1000000254189949,"POLYGON ((384911.5 393757.5, 384911 393757.5, 384911 393756.57232851745, 384906.5 393758.7776265307, 384906.5 393759, 384906.15459080966 393759, 384907.18975934683 393761.1123033664, 384911.5 393759, 384911.5 393757.5))",1.0727572964886314
osgb1000000254189949,"MULTIPOLYGON (((384911.5 393757.5, 384911 393757.5, 384911 393756.5, 384910.5 393756.5, 384910.5 393756.25575885334, 384910 393756.5007919659, 384910 393757, 384909 393757, 384909 393757.5, 384908 393757.5, 384908 393758, 384907 393758, 384907 393758.5, 384906.5 393758.5, 384906.5 393759, 384906.15459080966 393759, 384906.96783518844 393760.6594581243, 384911.5 393758.4383972233, 384911.5 393757.5)), ((384906 393758.46105686657, 384905.9116835052 393758.50433779776, 384906 393758.68455118575, 384906 393758.46105686657)))",0.9751158503170554
osgb1000000254189949,"MULTIPOLYGON (((384911.5 393757.5, 384911 393757.5, 384911 393756.5, 384910.5 393756.5, 384910.5 393755.69415607664, 384910 393755.93918918923, 384910 393757, 384909 393757, 384909 393757.5, 384908 393757.5, 384908 393758, 384907 393758, 384907 393758.5, 384906.5 393758.5, 384906.5 393759, 384906.1545908096 393759, 384906.74591103004 393760.2066128822, 384911.5 393757.8767944466, 384911.5 393757.5)), ((384906 393757.8994540899, 384905.68975934683 393758.05149255565, 384906 393758.68455118575, 384906 393757.8994540899)))",0.7828522942841296
osgb1000000254189951,"POLYGON ((384596 393566.5, 384596 393566, 384597 393566, 384597 393565.5, 384597.715368359 393565.5, 384595.37332704535 393560.87351154536, 384593.23207627446 393561.95746491896, 384595.53161834244 393566.5, 384596 393566.5))",1.0597852421010627
osgb1000000254189951,"POLYGON ((384599 393565, 384599 393564.5, 384600 393564.5, 384600 393564, 384600.36827194813 393564, 384598.1387155416 393559.50244655914, 384595.98842716456 393560.5684014811, 384598.18528796884 393565, 384599 393565))",1.0575109796424627
